variant_1	variant_2	n_diploid	n_haplotypes	r2_dosage	r2_phased	abs_Dprime_phased
snp1	snp41	60	120	0.0242534235275	0.0135574229692	0.314285714286
snp1	snp42	59	118	0.00514227189059	0.00457159649049	0.157142857143
snp2	snp3	59	118	0.831635108042	0.754714483155	0.868743047831
snp2	snp4	55	110	0.73461108133	0.745569950533	0.903972064601
snp2	snp5	58	116	0.741241563614	0.753305416431	0.867931688805
snp2	snp6	59	118	0.764328562947	0.832647791549	0.912495365221
snp2	snp7	59	118	0.317949696761	0.333669476807	0.666935483871
snp2	snp8	58	116	0.829999247243	0.828241091281	0.91007751938
snp2	snp9	59	118	0.516992537313	0.5381996256	0.814319433517
snp2	snp10	59	118	0.873061480971	0.87219020011	0.954789272031
snp2	snp11	58	116	0.829999247243	0.828241091281	0.91007751938
snp2	snp12	58	116	0.753420445811	0.750031625553	0.905882352941
snp2	snp13	59	118	0.765832955389	0.76075827304	0.910436432638
snp2	snp14	57	114	0.416752243263	0.450494345596	0.686073957514
snp2	snp15	59	118	0.0085179928578	1.85855814917e-06	0.00307219662058
snp2	snp16	59	118	0.0136693294093	0.0026913624958	0.114778694674
snp2	snp17	58	116	0.0561061891213	0.0170797525636	0.287250384025
snp2	snp18	59	118	0.0136693294093	0.000140839807653	0.026256564141
snp2	snp19	59	118	0.0313432835821	0.00692534188314	0.162580645161
snp2	snp20	58	116	0.0281505647153	0.00361843079626	0.129782445611
snp2	snp21	59	118	0.000160338889109	0.00280903464476	0.109128345916
snp2	snp22	59	118	0.0302286038164	0.00172892371827	0.0937019969278
snp2	snp23	58	116	0.0243808702499	0.0049853372434	0.149560117302
snp2	snp24	58	116	0.036747200698	0.0083392459368	0.186535764376
snp2	snp25	58	116	0.00741613733668	3.08541984851e-06	0.00215053763441
snp2	snp26	59	118	0.00792922546799	0.00183420834386	0.0897615708275
snp2	snp27	59	118	0.0219163079141	0.00521747767546	0.154121863799
snp2	snp28	57	114	0.0424740950955	0.0121884155961	0.199233716475
snp2	snp29	59	118	4.93400764771e-05	0.00545807567947	0.238709677419
snp2	snp30	59	118	0.000347910795672	0.00148870973942	0.12158808933
snp2	snp31	57	114	7.99763033175e-05	0.00577849117175	0.24
snp2	snp32	59	118	0.00115138592751	0.00389781659159	0.206989247312
snp2	snp33	58	116	0.0035731548615	0.000496805520061	0.072
snp2	snp34	58	116	2.86805786594e-06	0.00455654402523	0.198156682028
snp2	snp35	59	118	0.0275552903499	0.0261930938519	0.474972191324
snp2	snp36	59	118	0.00175091953674	0.00251126947456	0.154121863799
snp2	snp37	58	116	0.000878329931048	0.0031398133737	0.168458781362
snp2	snp38	59	118	0.00132293080054	0.00723211595195	0.267990074442
snp2	snp39	58	116	3.66485622769e-06	0.00853261588389	0.283950617284
snp2	snp40	58	116	0.00381350760227	0.000396006930121	0.0645161290323
snp2	snp41	59	118	0.00359571941378	0.00524080237818	0.212458286986
snp2	snp42	58	116	0.000132152055774	0.00465738983766	0.168458781362
snp3	snp4	56	112	0.617439928257	0.635953673754	0.815637860082
snp3	snp5	59	118	0.744324205486	0.754714483155	0.868743047831
snp3	snp6	60	120	0.841634814798	0.833590840665	0.913011960855
snp3	snp7	60	120	0.324810477901	0.336953492386	0.669551534225
snp3	snp8	59	118	0.831874484998	0.829203397612	0.910606060606
snp3	snp9	60	120	0.522428260644	0.540723864754	0.815668202765
snp3	snp10	60	120	0.874452186525	0.872900809472	0.955056179775
snp3	snp11	59	118	0.831874484998	0.829203397612	0.910606060606
snp3	snp12	59	118	0.756031318816	0.751386483209	0.906460562822
snp3	snp13	60	120	0.843586537353	0.838385858308	0.955506117909
snp3	snp14	58	116	0.423166013106	0.453383934219	0.688172043011
snp3	snp15	60	120	0.0096374238674	0.00193638808068	0.0997749437359
snp3	snp16	60	120	0.014957046317	0.00874215919713	0.208211143695
snp3	snp17	59	118	0.0582153701407	0.0295532503816	0.380345086272
snp3	snp18	60	120	0.014957046317	0.00291520920658	0.120234604106
snp3	snp19	60	120	0.0485520060727	0.0149513009736	0.240986717268
snp3	snp20	59	118	0.0296543862116	0.0103860053804	0.221407624633
snp3	snp21	60	120	6.79840464104e-05	0.00869880391446	0.193548387097
snp3	snp22	60	120	0.0319896408118	0.00700696843553	0.189797449362
snp3	snp23	59	118	0.0184690582177	0.0103860053804	0.221407624633
snp3	snp24	59	118	0.037971119205	0.0173363249258	0.271105010295
snp3	snp25	59	118	0.0187488554162	0.00172892371827	0.0937019969278
snp3	snp26	60	120	0.00273678700559	0.00198275345709	0.0940288263555
snp3	snp27	60	120	0.0230912927977	0.012747086876	0.242636746143
snp3	snp28	58	116	0.0423480286263	0.0223546944858	0.272727272727
snp3	snp29	60	120	1.82201799425e-05	0.000461647049846	0.0709677419355
snp3	snp30	60	120	0.000948290288392	0.00109684181927	0.106699751861
snp3	snp31	58	116	1.48726529095e-05	0.00492375841213	0.226666666667
snp3	snp32	60	120	0.000483442107808	0.00326205146792	0.193548387097
snp3	snp33	59	118	0.00506355746471	0.000287390029326	0.056
snp3	snp34	59	118	0.000195354747999	0.00376667784899	0.184331797235
snp3	snp35	60	120	0.0406497006478	0.0399012443481	0.599555061179
snp3	snp36	60	120	0.00284685716007	0.00197593798595	0.139784946237
snp3	snp37	59	118	9.19536735873e-05	0.00251126947456	0.154121863799
snp3	snp38	60	120	0.000554536535426	0.00629334497603	0.255583126551
snp3	snp39	59	118	0.000220787106033	0.00746167412834	0.271604938272
snp3	snp40	59	118	0.015487022092	0.000213002627032	0.0483870967742
snp3	snp41	60	120	0.00515247509637	0.00592001933068	0.225806451613
snp3	snp42	59	118	0.00258605449908	0.00371586214935	0.154121863799
snp4	snp5	55	110	0.593920270363	0.633745066013	0.814345991561
snp4	snp6	56	112	0.712080329695	0.709858087828	0.861728395062
snp4	snp7	56	112	0.32562239659	0.301581670362	0.612121212121
snp4	snp8	55	110	0.692288908183	0.70244430254	0.85775862069
snp4	snp9	56	112	0.452496685815	0.43954737793	0.754385964912
snp4	snp10	56	112	0.735537576034	0.745484830458	0.863414634146
snp4	snp11	55	110	0.732103952692	0.74390625	0.8625
snp4	snp12	55	110	0.692525125628	0.70244430254	0.85775862069
snp4	snp13	56	112	0.639196632618	0.645098094249	0.858227848101
snp4	snp14	54	108	0.513625456099	0.485921498842	0.713527851459
snp4	snp15	56	112	0.000764635603345	0.00925022583559	0.118518518519
snp4	snp16	56	112	3.05040799207e-06	0.00181481512514	0.0535211267606
snp4	snp17	55	110	0.00734861845973	0.0014880952381	0.0833333333333
snp4	snp18	56	112	3.05040799207e-06	0.00713246362969	0.106103286385
snp4	snp19	56	112	0.0148724920694	0.00121951219512	0.0666666666667
snp4	snp20	55	110	0.00387524801587	0.00119300106045	0.0434782608696
snp4	snp21	56	112	0.016905915911	0.00151491863177	0.052736318408
snp4	snp22	56	112	0.00437101145205	0.00292682926829	0.0666666666667
snp4	snp23	55	110	0.0126808331833	5.89136326146e-05	0.0162601626016
snp4	snp24	55	110	0.00460802949139	0.000130163137799	0.0149253731343
snp4	snp25	55	110	0.000177455990914	0.010172143975	0.1220657277
snp4	snp26	56	112	0.000362450163103	0.00251293422025	0.0666666666667
snp4	snp27	56	112	2.78494902151e-06	0.00181481512514	0.0535211267606
snp4	snp28	55	110	0.0206966078463	0.00267100435309	0.0934065934066
snp4	snp29	56	112	0.0355912743972	0.0116299482487	0.350724637681
snp4	snp30	56	112	0.012619474313	0.00492732200049	0.222222222222
snp4	snp31	54	108	0.0322211630124	0.0150901041342	0.379310344828
snp4	snp32	56	112	0.0291530101777	0.00922723166626	0.321212121212
snp4	snp33	55	110	6.14170543879e-05	0.00291233693498	0.175412293853
snp4	snp34	55	110	0.0136892539357	0.0100923382173	0.294871794872
snp4	snp35	56	112	0.0765224938522	0.0358392600026	0.569230769231
snp4	snp36	56	112	0.00614612503182	0.00674703298757	0.253333333333
snp4	snp37	55	110	0.00872093023256	0.0078431372549	0.266666666667
snp4	snp38	56	112	0.0298685782557	0.0142399605814	0.377777777778
snp4	snp39	55	110	0.0177121771218	0.0162722560288	0.393103448276
snp4	snp40	55	110	0.0134015594542	0.0104166666667	0.333333333333
snp4	snp41	56	112	0.0111509358821	0.00487804878049	0.2
snp4	snp42	55	110	0.0118432385874	0.00793650793651	0.222222222222
snp5	snp6	59	118	0.838134430727	0.832647791549	0.912495365221
snp5	snp7	59	118	0.348651876972	0.333669476807	0.666935483871
snp5	snp8	58	116	0.824257400178	0.828241091281	0.91007751938
snp5	snp9	59	118	0.566914893617	0.601308489911	0.860739575138
snp5	snp10	59	118	0.869330529951	0.87219020011	0.954789272031
snp5	snp11	58	116	0.824257400178	0.828241091281	0.91007751938
snp5	snp12	58	116	0.7445100797	0.750031625553	0.905882352941
snp5	snp13	59	118	0.760459711911	0.76075827304	0.910436432638
snp5	snp14	57	114	0.333269006633	0.393524333368	0.641227380016
snp5	snp15	59	118	0.00934051589971	0.00172892371827	0.0937019969278
snp5	snp16	59	118	0.0149892810216	0.00844360515416	0.203300825206
snp5	snp17	58	116	0.0615984405458	0.0293177427902	0.376344086022
snp5	snp18	59	118	0.0149892810216	0.0026913624958	0.114778694674
snp5	snp19	59	118	0.0343698854337	0.0149294422997	0.238709677419
snp5	snp20	58	116	0.0309062318098	0.0100977299119	0.21680420105
snp5	snp21	59	118	5.74670369076e-05	0.00677483838726	0.172510518934
snp5	snp22	59	118	0.033147568833	0.00669080933702	0.184331797235
snp5	snp23	58	116	0.0188341089369	0.0100977299119	0.21680420105
snp5	snp24	58	116	0.0246687193523	0.0083392459368	0.186535764376
snp5	snp25	58	116	0.0188740091657	0.00152061831814	0.087332808812
snp5	snp26	59	118	0.0086948953577	0.00677483838726	0.172510518934
snp5	snp27	59	118	0.0240326126062	0.0125161899828	0.238709677419
snp5	snp28	57	114	0.0314823960028	0.0121884155961	0.199233716475
snp5	snp29	59	118	0.0077092209971	0.0121595573753	0.365591397849
snp5	snp30	59	118	6.16154808896e-05	0.00545807567947	0.238709677419
snp5	snp31	57	114	0.00142045454545	0.0128042328042	0.366666666667
snp5	snp32	59	118	0.00404816686038	0.00985602275263	0.338008415147
snp5	snp33	58	116	0.000594177064765	0.00344062464892	0.194444444444
snp5	snp34	58	116	0.00049338275055	0.0104311419707	0.307048984468
snp5	snp35	59	118	0.0334757834758	0.0352053088427	0.5770609319
snp5	snp36	59	118	0.000335381395723	0.00723211595195	0.267990074442
snp5	snp37	58	116	3.20461464509e-05	0.00828362445061	0.280397022333
snp5	snp38	59	118	0.00432174833927	0.014641357781	0.390967741935
snp5	snp39	58	116	0.000683922558923	0.0165401179355	0.405128205128
snp5	snp40	58	116	0.00898033233002	0.0031384258902	0.186535764376
snp5	snp41	59	118	0.0196584320608	0.0162357726318	0.365591397849
snp5	snp42	58	116	0.000211519389887	0.00997680792747	0.251612903226
snp6	snp7	60	120	0.394916945559	0.386142492699	0.716758457907
snp6	snp8	59	118	0.919178082192	0.912603879706	0.955303030303
snp6	snp9	60	120	0.604974745068	0.603548559692	0.861751152074
snp6	snp10	60	120	0.961075499608	0.956989247312	1
snp6	snp11	59	118	0.919178082192	0.912603879706	0.955303030303
snp6	snp12	59	118	0.842597192324	0.830923822687	0.953230281411
snp6	snp13	60	120	0.848376449491	0.838385858308	0.955506117909
snp6	snp14	58	116	0.446452878485	0.453383934219	0.688172043011
snp6	snp15	60	120	0.00110717437971	0.00125330471681	0.0448261416003
snp6	snp16	60	120	0.000130966656708	0.000209839568112	0.0322580645161
snp6	snp17	59	118	0.0115011142948	0.00844360515416	0.203300825206
snp6	snp18	60	120	0.000130966656708	0.000626050281723	0.0322580645161
snp6	snp19	60	120	0.00861783099064	0.00204770437415	0.0891840607211
snp6	snp20	59	118	0.00201053453633	0.000496046658449	0.0483870967742
snp6	snp21	60	120	0.0160106737825	0.000241633442068	0.0322580645161
snp6	snp22	60	120	0.00245005974578	1.8500174438e-05	0.00975243810953
snp6	snp23	59	118	2.45670188274e-05	0.000496046658449	0.0483870967742
snp6	snp24	59	118	0.00454821655333	0.00280903464476	0.109128345916
snp6	snp25	59	118	0.0020875937287	1.85855814917e-06	0.00307219662058
snp6	snp26	60	120	0.000785161675787	3.05299029836e-05	0.0116678105697
snp6	snp27	60	120	0.000880054699808	0.00119638367586	0.0743338008415
snp6	snp28	58	116	0.00797185111881	0.00486835568803	0.127272727273
snp6	snp29	60	120	0.020532951616	0.0132809370291	0.38064516129
snp6	snp30	60	120	0.00558139815684	0.00629334497603	0.255583126551
snp6	snp31	58	116	0.0107076397781	0.0139357696567	0.381333333333
snp6	snp32	60	120	0.0160106737825	0.0109641174339	0.354838709677
snp6	snp33	59	118	0.00142143432716	0.00417073965461	0.213333333333
snp6	snp34	59	118	0.00633747341007	0.0113712473001	0.320276497696
snp6	snp35	60	120	0.0585283875871	0.0399012443481	0.599555061179
snp6	snp36	60	120	0.00214386247607	0.00810771135456	0.283154121864
snp6	snp37	59	118	0.0034223708509	0.00920678080485	0.295101553166
snp6	snp38	60	120	0.0160861388739	0.0157609466178	0.404466501241
snp6	snp39	59	118	0.00824771689498	0.0176126342793	0.417283950617
snp6	snp40	59	118	0.000378732556108	0.00389781659159	0.206989247312
snp6	snp41	60	120	0.0258066781363	0.0146188232451	0.354838709677
snp6	snp42	59	118	0.00169204737733	0.0105632776758	0.259856630824
snp7	snp8	59	118	0.459347633752	0.408206240032	0.754166666667
snp7	snp9	60	120	0.233983286908	0.282657864173	0.552845528455
snp7	snp10	60	120	0.408744095919	0.411210954215	0.756097560976
snp7	snp11	59	118	0.371818755015	0.374779324779	0.708641975309
snp7	snp12	59	118	0.331667647324	0.331183343869	0.694827586207
snp7	snp13	60	120	0.383375461684	0.340767240373	0.645232815965
snp7	snp14	58	116	0.25904376423	0.264621891267	0.581730769231
snp7	snp15	60	120	0.00110709061191	0.0026709117971	0.0567327409433
snp7	snp16	60	120	0.00874959413504	0.00157237533091	0.0443213296399
snp7	snp17	59	118	0.000167213033533	3.30477356181e-05	0.00631578947368
snp7	snp18	60	120	0.00874959413504	0.00590254958203	0.0858725761773
snp7	snp19	60	120	0.00275293619378	2.9548013881e-05	0.00928792569659
snp7	snp20	59	118	0.00465633133065	0.000970273503168	0.0348506401138
snp7	snp21	60	120	0.0041782729805	5.3487376979e-05	0.0131578947368
snp7	snp22	60	120	0.00101553246344	0.0026709117971	0.0567327409433
snp7	snp23	59	118	0.00505797394543	0.000970273503168	0.0348506401138
snp7	snp24	59	118	0.000453894518881	0.000756825149993	0.0500287521564
snp7	snp25	59	118	0.00730682360637	0.00878676955547	0.101108033241
snp7	snp26	60	120	0.0079593750942	0.00167954416969	0.0483056957462
snp7	snp27	60	120	0.0128439347314	0.000254929260901	0.0184921763869
snp7	snp28	58	116	0.00185639438379	0.000232247008203	0.0220140515222
snp7	snp29	60	120	0.00846852647639	0.00714816566448	0.242105263158
snp7	snp30	60	120	0.000617602944328	0.00287623773817	0.14979757085
snp7	snp31	58	116	0.0261191130167	0.0178989672661	0.372972972973
snp7	snp32	60	120	0.000116063138347	0.00513478818999	0.210526315789
snp7	snp33	59	118	0.000302497067203	0.00140656785818	0.107027027027
snp7	snp34	59	118	0.00242829323811	0.00739400584795	0.223684210526
snp7	snp35	60	120	0.0278852225542	0.0306457740392	0.4555353902
snp7	snp36	60	120	0.00300042154683	0.0044216231636	0.181286549708
snp7	snp37	59	118	1.16048995886e-05	0.0040644361632	0.173173173173
snp7	snp38	60	120	0.00610040459295	0.00943128649135	0.271255060729
snp7	snp39	59	118	0.00560692176326	0.0135386543281	0.309941520468
snp7	snp40	59	118	0.000770096201861	0.00107841078761	0.094298245614
snp7	snp41	60	120	0.00879636416948	0.00385109114249	0.157894736842
snp7	snp42	59	118	0.00140435056101	0.00393845385822	0.137426900585
snp8	snp9	59	118	0.655122042092	0.662457101132	0.905220883534
snp8	snp10	59	118	0.957247896127	0.955805243446	1
snp8	snp11	58	116	0.913086419753	0.910159862597	0.954022988506
snp8	snp12	58	116	0.832796209869	0.82635910601	0.951827242525
snp8	snp13	59	118	0.842285119215	0.834302876145	0.954263565891
snp8	snp14	57	114	0.45045069347	0.477003484321	0.721951219512
snp8	snp15	59	118	0.00151655087005	7.51703077284e-06	0.00355555555556
snp8	snp16	59	118	0.000288524590164	5.63063063063e-05	0.0166666666667
snp8	snp17	58	116	0.0202120018483	0.00747238418397	0.190697674419
snp8	snp18	59	118	0.000288524590164	0.00107214652669	0.0432432432432
snp8	snp19	59	118	0.0151712846092	0.0014406576742	0.0745098039216
snp8	snp20	58	116	0.00558720420684	0.000236864771748	0.0333333333333
snp8	snp21	59	118	0.00759782896583	4.08641403547e-06	0.00281690140845
snp8	snp22	59	118	0.00645873455775	7.51703077284e-06	0.00355555555556
snp8	snp23	58	116	0.00113160257369	0.000236864771748	0.0333333333333
snp8	snp24	58	116	0.00952936930817	0.00214606534767	0.0950354609929
snp8	snp25	58	116	0.00108047982124	0.00217293705666	0.0594594594595
snp8	snp26	59	118	1.77888815537e-05	4.08641403547e-06	0.00281690140845
snp8	snp27	59	118	0.00324930751671	0.000769012589665	0.0594202898551
snp8	snp28	57	114	0.0132554542538	0.00378604446401	0.111688311688
snp8	snp29	59	118	0.00785262529098	0.00417073965461	0.213333333333
snp8	snp30	59	118	0.000146773246624	0.000820918212223	0.0923076923077
snp8	snp31	57	114	0.00165713722397	0.00438042710304	0.213793103448
snp8	snp32	59	118	0.00447182598822	0.00283755104234	0.180555555556
snp8	snp33	58	116	0.000781144781145	0.00014652014652	0.04
snp8	snp34	58	116	0.000560846076367	0.00326185442465	0.171428571429
snp8	snp35	59	118	0.0368362224488	0.023247390605	0.457471264368
snp8	snp36	59	118	0.00140304922282	0.00746167412834	0.271604938272
snp8	snp37	58	116	3.21876669735e-06	0.00209621693813	0.140740740741
snp8	snp38	59	118	0.00450220420414	0.00571665653187	0.24358974359
snp8	snp39	59	118	0.00159466937131	0.00746167412834	0.271604938272
snp8	snp40	58	116	0.00696437504937	0.00010111223458	0.0333333333333
snp8	snp41	59	118	0.0119177875455	0.00528925619835	0.213333333333
snp8	snp42	58	116	2.39439392569e-05	0.00203491790055	0.11619047619
snp9	snp10	60	120	0.628881987578	0.636684303351	0.904761904762
snp9	snp11	59	118	0.58512106521	0.59491159443	0.857831325301
snp9	snp12	59	118	0.557777457199	0.562139052696	0.852928957208
snp9	snp13	60	120	0.531474561656	0.543381267519	0.78354978355
snp9	snp14	58	116	0.361752881623	0.314455782313	0.597222222222
snp9	snp15	60	120	8.04980143823e-05	1.43820741827e-05	0.004329004329
snp9	snp16	60	120	0.0138858457493	0.000911369332422	0.0350877192982
snp9	snp17	59	118	0.00432474753652	0.00457367009567	0.137541528239
snp9	snp18	60	120	0.0138858457493	0.00461380724539	0.0789473684211
snp9	snp19	60	120	0.00062656641604	0.000121787845573	0.0196078431373
snp9	snp20	59	118	0.00239362252821	0.000481079749372	0.0255255255255
snp9	snp21	60	120	0.0178571428571	0.000220458553792	0.0277777777778
snp9	snp22	60	120	0.0026582652358	0.00174023097611	0.047619047619
snp9	snp23	59	118	0.00906938821413	0.000481079749372	0.0255255255255
snp9	snp24	59	118	0.000184146092634	0.000162422960759	0.0236406619385
snp9	snp25	59	118	0.0115620575743	0.00706415428816	0.094298245614
snp9	snp26	60	120	0.013367281986	0.00112420368905	0.041095890411
snp9	snp27	60	120	0.0112887424296	0.000895305243131	0.0579710144928
snp9	snp28	58	116	8.33176050099e-05	2.09541851709e-05	0.00748663101604
snp9	snp29	60	120	0.010768126346	0.000501253132832	0.0666666666667
snp9	snp30	60	120	0.00109082094376	7.7936248149e-05	0.010989010989
snp9	snp31	58	116	0.00379110251451	0.000615384615385	0.072
snp9	snp32	60	120	0.00607638888889	8.2671957672e-05	0.0277777777778
snp9	snp33	59	118	0.00215297704448	0.000704902559547	0.0332530120482
snp9	snp34	59	118	0.00285395763657	0.00055060868069	0.0634920634921
snp9	snp35	60	120	0.0303869339689	0.0052148180227	0.195402298851
snp9	snp36	60	120	0.003815175922	0.0022946653771	0.135802469136
snp9	snp37	59	118	0.000752780824064	0.000108092249014	0.0288065843621
snp9	snp38	60	120	0.00775694893342	0.00124697997038	0.102564102564
snp9	snp39	59	118	0.00317581300813	0.00198400439364	0.125925925926
snp9	snp40	59	118	0.00513891119319	0.000961002517827	0.0406504065041
snp9	snp41	60	120	0.00234962406015	0.00176366843034	0.111111111111
snp9	snp42	59	118	0.000284372291692	0.000746306946718	0.0634920634921
snp10	snp11	59	118	0.957247896127	0.955805243446	1
snp10	snp12	59	118	0.873152378393	0.869459218297	0.953761755486
snp10	snp13	60	120	0.885749278278	0.878787878788	1
snp10	snp14	58	116	0.456381927836	0.479734219269	0.72380952381
snp10	snp15	60	120	0.000489987913631	0.000100674519279	0.012987012987
snp10	snp16	60	120	0.00200053347559	0.00159489633174	0.0909090909091
snp10	snp17	59	118	0.0277480047314	0.014061075875	0.268217054264
snp10	snp18	60	120	0.00200053347559	0	0
snp10	snp19	60	120	0.0207644715654	0.00464147011462	0.137254901961
snp10	snp20	59	118	0.00982844351553	0.00228017273472	0.106060606061
snp10	snp21	60	120	0.00679347826087	0.00154320987654	0.0833333333333
snp10	snp22	60	120	0.0112366284122	0.000906070673513	0.0697674418605
snp10	snp23	59	118	0.00357380971057	0.00228017273472	0.106060606061
snp10	snp24	59	118	0.014449019042	0.00600475840212	0.163120567376
snp10	snp25	59	118	0.00365720973184	0.000171356421356	0.0166666666667
snp10	snp26	60	120	0.000415132980932	0.000874380647042	0.063829787234
snp10	snp27	60	120	0.00650547544183	0.00352526439483	0.130434782609
snp10	snp28	58	116	0.017674685166	0.00843091334895	0.171428571429
snp10	snp29	60	120	0.0163862792222	0.0113684210526	0.36
snp10	snp30	60	120	0.00295101318119	0.00490998363339	0.230769230769
snp10	snp31	58	116	0.0070303030303	0.0118681318681	0.36
snp10	snp32	60	120	0.012077294686	0.00925925925926	0.333333333333
snp10	snp33	59	118	0.000253353204173	0.00303708240117	0.186206896552
snp10	snp34	59	118	0.00359686494309	0.00939454064454	0.297619047619
snp10	snp35	60	120	0.0518411059436	0.0365037261589	0.586206896552
snp10	snp36	60	120	0.000645078054445	0.0065047125979	0.259259259259
snp10	snp37	59	118	0.00140304922282	0.00746167412834	0.271604938272
snp10	snp38	60	120	0.0118040527248	0.0136388434261	0.384615384615
snp10	snp39	59	118	0.0048512791853	0.0152520288127	0.397190293742
snp10	snp40	59	118	0.00171821573136	0.00283755104234	0.180555555556
snp10	snp41	60	120	0.0205949656751	0.0123456790123	0.333333333333
snp10	snp42	59	118	0.000204256091749	0.00827841422354	0.235185185185
snp11	snp12	58	116	0.871779141104	0.868733850129	0.953488372093
snp11	snp13	59	118	0.842285119215	0.834302876145	0.954263565891
snp11	snp14	57	114	0.45045069347	0.477003484321	0.721951219512
snp11	snp15	59	118	0.00261737672266	0.00186469344609	0.056
snp11	snp16	59	118	0.00081609538003	5.63063063063e-05	0.0166666666667
snp11	snp17	58	116	0.00966452102863	0.00747238418397	0.190697674419
snp11	snp18	59	118	0.000288524590164	5.63063063063e-05	0.0166666666667
snp11	snp19	59	118	0.010077847168	0.00454590017825	0.134666666667
snp11	snp20	58	116	0.00103967967555	0.000236864771748	0.0333333333333
snp11	snp21	59	118	0.0227515713082	6.49350649351e-05	0.0166666666667
snp11	snp22	59	118	0.00138836104006	7.51703077284e-06	0.00355555555556
snp11	snp23	58	116	0.000114563070477	0.000236864771748	0.0333333333333
snp11	snp24	58	116	0.00306536183582	0.00214606534767	0.0950354609929
snp11	snp25	58	116	0.00205892793752	0.000429000429	0.027027027027
snp11	snp26	59	118	0.00208772290457	4.08641403547e-06	0.00281690140845
snp11	snp27	59	118	0.000255634098206	0.000769012589665	0.0594202898551
snp11	snp28	57	114	0.00592561460609	0.00378604446401	0.111688311688
snp11	snp29	59	118	0.0197066177286	0.0125910720104	0.370666666667
snp11	snp30	59	118	0.00450220420414	0.00571665653187	0.24358974359
snp11	snp31	57	114	0.00946766561514	0.0131934270802	0.371034482759
snp11	snp32	59	118	0.0149918387623	0.010326670965	0.344444444444
snp11	snp33	58	116	0.000781144781145	0.003663003663	0.2
snp11	snp34	58	116	0.000560846076367	0.0106337460989	0.309523809524
snp11	snp35	59	118	0.0591298261704	0.0390757634462	0.593103448276
snp11	snp36	59	118	0.00140304922282	0.00746167412834	0.271604938272
snp11	snp37	58	116	0.00252351309072	0.00853261588389	0.283950617284
snp11	snp38	59	118	0.014903998138	0.015022296544	0.394871794872
snp11	snp39	58	116	0.00692951015532	0.016784574837	0.407407407407
snp11	snp40	58	116	0.000951183548803	0.00344062464892	0.194444444444
snp11	snp41	59	118	0.0248367527886	0.0137884527089	0.344444444444
snp11	snp42	58	116	0.000871811430417	0.00966623600345	0.248148148148
snp12	snp13	59	118	0.773499188973	0.760860974308	0.952129817444
snp12	snp14	57	114	0.451835725827	0.468073274581	0.715828832572
snp12	snp15	59	118	0.000252004608084	0.00475860321086	0.0898366606171
